E; project; project1; vpl; 1145.6742; cost; 21206.0646
E; project; project2; vpl; 1448.6852; cost; 20351.851
E; project; project3; vpl; 1292.9702; cost; 15659.569
E; project; project4; vpl; 1295.605; cost; 26188.6448
E; project; project5; vpl; 1484.5018; cost; 23789.1142
E; project; project6; vpl; 1193.8054; cost; 25025.4028
E; project; project7; vpl; 1468.505; cost; 17736.9011
E; project; project8; vpl; 1049.0272; cost; 15194.9456
E; project; project9; vpl; 1111.6491; cost; 23614.9997
E; project; project10; vpl; 1193.2529; cost; 29990.4775
E; project; project11; vpl; 1236.6628; cost; 23256.3787
E; project; project12; vpl; 1251.3796; cost; 21903.5574
E; project; project13; vpl; 1045.9948; cost; 16542.5427
E; project; project14; vpl; 1023.7692; cost; 19929.7169
E; project; project15; vpl; 1470.5121; cost; 21669.4439
E; risk; risk1; probability; 76.5816
E; risk; risk2; probability; 38.8338
E; risk; risk3; probability; 89.3422
E; risk; risk4; probability; 84.9563
E; risk; risk5; probability; 32.601
E; risk; risk6; probability; 27.9879
E; risk; risk7; probability; 65.0646
E; risk; risk8; probability; 69.3229
E; risk; risk9; probability; 22.785
E; risk; risk10; probability; 71.6899
R; affects; risk1; project7; impact; -5871.8693
R; affects; risk1; project2; impact; -4448.6569
R; affects; risk1; project14; impact; 53.492
R; affects; risk1; project12; impact; 1418.6693
R; affects; risk1; project15; impact; -5882.6882
R; affects; risk1; project9; impact; -1857.506
R; affects; risk1; project3; impact; -2622.0485
R; affects; risk1; project4; impact; 3627.6281
R; affects; risk1; project1; impact; -4593.8872
R; affects; risk1; project5; impact; -542.4946
R; affects; risk1; project8; impact; -6694.5727
R; affects; risk1; project10; impact; -3555.2673
R; affects; risk1; project11; impact; -3266.5683
R; affects; risk1; project13; impact; 991.4406
R; affects; risk1; project6; impact; -5718.2097
R; affects; risk2; project11; impact; 1525.3241
R; affects; risk2; project2; impact; 4890.4461
R; affects; risk2; project7; impact; 1736.3478
R; affects; risk2; project3; impact; 4670.7595
R; affects; risk2; project4; impact; 1245.5504
R; affects; risk2; project6; impact; -2996.3172
R; affects; risk2; project9; impact; -5773.0745
R; affects; risk2; project10; impact; -4386.4472
R; affects; risk2; project13; impact; -2666.3949
R; affects; risk2; project12; impact; 4945.9658
R; affects; risk2; project1; impact; -819.963
R; affects; risk2; project5; impact; -4303.9006
R; affects; risk2; project14; impact; -2146.1323
R; affects; risk2; project15; impact; -4564.6555
R; affects; risk2; project8; impact; 1598.0853
R; affects; risk3; project7; impact; 3009.5999
R; affects; risk3; project4; impact; -5939.2595
R; affects; risk3; project8; impact; -930.5947
R; affects; risk3; project15; impact; -1926.7404
R; affects; risk3; project10; impact; -3275.6034
R; affects; risk3; project11; impact; -5772.1648
R; affects; risk3; project6; impact; 273.4284
R; affects; risk3; project5; impact; -3109.6064
R; affects; risk3; project9; impact; 3975.0516
R; affects; risk3; project14; impact; -2759.2108
R; affects; risk3; project3; impact; 1515.6587
R; affects; risk3; project2; impact; 3780.6825
R; affects; risk3; project1; impact; 4876.2031
R; affects; risk3; project12; impact; 4518.3497
R; affects; risk3; project13; impact; -2838.4967
R; affects; risk4; project14; impact; -1973.2625
R; affects; risk4; project13; impact; 1254.206
R; affects; risk4; project10; impact; -5903.5112
R; affects; risk4; project5; impact; 1800.789
R; affects; risk4; project8; impact; -1738.5492
R; affects; risk4; project11; impact; 4188.7384
R; affects; risk4; project3; impact; -5725.8264
R; affects; risk4; project2; impact; 4788.2522
R; affects; risk4; project6; impact; 3738.8928
R; affects; risk4; project1; impact; -5888.5099
R; affects; risk4; project9; impact; 4877.0366
R; affects; risk4; project4; impact; -5712.751
R; affects; risk4; project12; impact; -3915.0559
R; affects; risk4; project15; impact; 1205.721
R; affects; risk4; project7; impact; -3053.4433
R; affects; risk5; project12; impact; -4499.7747
R; affects; risk5; project5; impact; 558.6168
R; affects; risk5; project3; impact; 990.9167
R; affects; risk5; project1; impact; -4692.5206
R; affects; risk5; project9; impact; 806.7856
R; affects; risk5; project2; impact; 1072.0091
R; affects; risk5; project11; impact; -4139.0602
R; affects; risk5; project4; impact; -2594.9268
R; affects; risk5; project7; impact; -6188.7358
R; affects; risk5; project13; impact; -572.4259
R; affects; risk5; project14; impact; 3572.0112
R; affects; risk5; project10; impact; -3363.5698
R; affects; risk5; project8; impact; -6373.5026
R; affects; risk5; project6; impact; -4564.1142
R; affects; risk5; project15; impact; -751.4689
R; affects; risk6; project3; impact; -4673.6023
R; affects; risk6; project1; impact; -3910.942
R; affects; risk6; project6; impact; -6624.6819
R; affects; risk6; project12; impact; 1990.181
R; affects; risk6; project13; impact; 3918.8312
R; affects; risk6; project7; impact; -5186.4889
R; affects; risk6; project5; impact; 1847.0488
R; affects; risk6; project8; impact; 422.9307
R; affects; risk6; project14; impact; 3467.7368
R; affects; risk6; project9; impact; -5150.6909
R; affects; risk6; project2; impact; 2064.5461
R; affects; risk6; project15; impact; -3660.5061
R; affects; risk6; project4; impact; 4920.4838
R; affects; risk6; project10; impact; -6196.2507
R; affects; risk6; project11; impact; 2196.1793
R; affects; risk7; project9; impact; -278.5285
R; affects; risk7; project6; impact; -1613.3657
R; affects; risk7; project11; impact; 4637.9679
R; affects; risk7; project12; impact; -5647.155
R; affects; risk7; project2; impact; -4274.1654
R; affects; risk7; project7; impact; -618.9404
R; affects; risk7; project4; impact; 530.2535
R; affects; risk7; project10; impact; -4620.5105
R; affects; risk7; project13; impact; 4852.5919
R; affects; risk7; project1; impact; -2481.1298
R; affects; risk7; project14; impact; 1232.0138
R; affects; risk7; project5; impact; 2170.1474
R; affects; risk7; project3; impact; -6111.5912
R; affects; risk7; project8; impact; 1122.3166
R; affects; risk7; project15; impact; -183.4628
R; affects; risk8; project1; impact; -4419.3839
R; affects; risk8; project2; impact; -4857.373
R; affects; risk8; project10; impact; 2876.1719
R; affects; risk8; project13; impact; -4360.7548
R; affects; risk8; project11; impact; -1438.8822
R; affects; risk8; project9; impact; -5042.4362
R; affects; risk8; project4; impact; -5161.7648
R; affects; risk8; project3; impact; 490.4319
R; affects; risk8; project8; impact; -326.6968
R; affects; risk8; project5; impact; 3884.1498
R; affects; risk8; project7; impact; 2975.4558
R; affects; risk8; project12; impact; -4672.4492
R; affects; risk8; project14; impact; 691.6858
R; affects; risk8; project15; impact; -1133.1079
R; affects; risk8; project6; impact; -646.2047
R; affects; risk9; project3; impact; -1976.1001
R; affects; risk9; project4; impact; 2519.0909
R; affects; risk9; project7; impact; -321.1686
R; affects; risk9; project8; impact; 3361.3185
R; affects; risk9; project12; impact; -2535.8713
R; affects; risk9; project15; impact; 168.9469
R; affects; risk9; project11; impact; 487.5901
R; affects; risk9; project6; impact; 2689.1108
R; affects; risk9; project14; impact; 2854.2771
R; affects; risk9; project5; impact; 284.2323
R; affects; risk9; project13; impact; -5982.211
R; affects; risk9; project10; impact; 33.4966
R; affects; risk9; project2; impact; -3304.8762
R; affects; risk9; project9; impact; -1426.3526
R; affects; risk9; project1; impact; 503.0382
R; affects; risk10; project4; impact; -2584.3557
R; affects; risk10; project10; impact; -5507.5785
R; affects; risk10; project7; impact; -4349.9475
R; affects; risk10; project11; impact; 2892.3906
