E; project; project1; vpl; 1024.9056; cost; 22899.7053
E; project; project2; vpl; 1053.3949; cost; 19035.4235
E; project; project3; vpl; 1321.0318; cost; 25740.9612
E; project; project4; vpl; 1035.6936; cost; 22959.3594
E; project; project5; vpl; 1459.4424; cost; 24747.8495
E; project; project6; vpl; 1037.9012; cost; 26169.1524
E; project; project7; vpl; 1471.2753; cost; 26800.9928
E; project; project8; vpl; 1489.419; cost; 15738.328
E; project; project9; vpl; 1435.9003; cost; 29407.9086
E; project; project10; vpl; 1006.7301; cost; 18078.7174
E; project; project11; vpl; 1120.327; cost; 29311.9341
E; project; project12; vpl; 1152.0637; cost; 22086.518
E; project; project13; vpl; 1236.8519; cost; 24689.5996
E; project; project14; vpl; 1248.3606; cost; 23790.1291
E; project; project15; vpl; 1164.9823; cost; 29096.1595
E; project; project16; vpl; 1387.1921; cost; 25608.2898
E; project; project17; vpl; 1066.0236; cost; 28914.0812
E; project; project18; vpl; 1430.4741; cost; 29279.8106
E; project; project19; vpl; 1383.811; cost; 25110.6434
E; project; project20; vpl; 1387.3957; cost; 23352.6202
E; project; project21; vpl; 1464.0256; cost; 27621.3067
E; project; project22; vpl; 1361.8417; cost; 21627.6702
E; project; project23; vpl; 1461.2687; cost; 18944.9883
E; project; project24; vpl; 1174.9375; cost; 22121.8389
E; project; project25; vpl; 1119.334; cost; 27912.5243
E; risk; risk1; probability; 16.3818
E; risk; risk2; probability; 55.5164
E; risk; risk3; probability; 80.9809
E; risk; risk4; probability; 62.029
E; risk; risk5; probability; 37.4568
R; affects; risk1; project20; impact; 321.5138
R; affects; risk1; project19; impact; -1558.9275
R; affects; risk1; project8; impact; -1909.8285
R; affects; risk1; project23; impact; 1396.1833
R; affects; risk1; project10; impact; 3732.7482
R; affects; risk1; project5; impact; -6723.4648
R; affects; risk1; project25; impact; -4953.4161
R; affects; risk1; project1; impact; 1110.3303
R; affects; risk1; project12; impact; 3825.3625
R; affects; risk1; project9; impact; -3135.8565
R; affects; risk1; project17; impact; 785.6474
R; affects; risk1; project21; impact; -5216.3394
R; affects; risk1; project4; impact; -1655.0184
R; affects; risk1; project22; impact; 249.4799
R; affects; risk1; project6; impact; -5801.8644
R; affects; risk1; project14; impact; -5112.8524
R; affects; risk1; project15; impact; 587.9116
R; affects; risk1; project7; impact; -271.9041
R; affects; risk1; project16; impact; 3167.833
R; affects; risk2; project22; impact; 160.664
R; affects; risk2; project21; impact; 2239.4758
R; affects; risk2; project17; impact; 329.3192
R; affects; risk2; project8; impact; 4734.9245
R; affects; risk2; project4; impact; 1903.7658
R; affects; risk2; project2; impact; 2756.9702
R; affects; risk2; project16; impact; -498.9748
R; affects; risk2; project13; impact; -6777.2153
R; affects; risk2; project1; impact; 239.7443
R; affects; risk2; project23; impact; -2948.2574
R; affects; risk2; project12; impact; 665.8476
R; affects; risk2; project3; impact; -549.8411
R; affects; risk2; project7; impact; -3940.7894
R; affects; risk2; project11; impact; -4835.4414
R; affects; risk2; project20; impact; -6717.6105
R; affects; risk2; project10; impact; -1625.253
R; affects; risk2; project25; impact; -3188.6075
