E; project; project1; vpl; 1314.3101; cost; 16803.37
E; project; project2; vpl; 1011.1746; cost; 18633.3631
E; project; project3; vpl; 1290.0377; cost; 24558.6965
E; project; project4; vpl; 1249.9473; cost; 20800.3941
E; project; project5; vpl; 1017.4267; cost; 15195.2212
E; project; project6; vpl; 1152.9775; cost; 23875.1865
E; project; project7; vpl; 1301.9181; cost; 27907.638
E; project; project8; vpl; 1244.9524; cost; 24936.7211
E; project; project9; vpl; 1150.4035; cost; 29053.4031
E; project; project10; vpl; 1013.9813; cost; 22197.8467
E; project; project11; vpl; 1372.5805; cost; 19052.9226
E; project; project12; vpl; 1349.8032; cost; 23747.7572
E; project; project13; vpl; 1008.7052; cost; 23401.8229
E; project; project14; vpl; 1474.8338; cost; 23268.0234
E; project; project15; vpl; 1096.4833; cost; 27744.9355
E; project; project16; vpl; 1078.4549; cost; 26000.1722
E; project; project17; vpl; 1250.0516; cost; 25347.9963
E; project; project18; vpl; 1116.5645; cost; 22902.8099
E; project; project19; vpl; 1081.403; cost; 19243.3136
E; project; project20; vpl; 1023.9894; cost; 21723.9367
E; project; project21; vpl; 1071.5812; cost; 15385.2511
E; project; project22; vpl; 1105.0538; cost; 17499.4729
E; project; project23; vpl; 1150.6693; cost; 16192.5672
E; project; project24; vpl; 1160.8597; cost; 29814.1348
E; project; project25; vpl; 1285.033; cost; 27786.6825
E; project; project26; vpl; 1394.4306; cost; 27989.5177
E; project; project27; vpl; 1093.2322; cost; 27763.8229
E; project; project28; vpl; 1115.8884; cost; 19832.297
E; project; project29; vpl; 1122.1152; cost; 17717.6618
E; project; project30; vpl; 1378.664; cost; 28740.4845
E; project; project31; vpl; 1248.2687; cost; 29507.3506
E; project; project32; vpl; 1089.0912; cost; 23057.1459
E; project; project33; vpl; 1321.468; cost; 18040.3831
E; project; project34; vpl; 1090.6304; cost; 20730.2778
E; project; project35; vpl; 1113.0897; cost; 24504.1076
E; project; project36; vpl; 1170.7254; cost; 20407.8992
E; project; project37; vpl; 1158.49; cost; 21474.3515
E; project; project38; vpl; 1033.5841; cost; 28313.9457
E; project; project39; vpl; 1305.7852; cost; 28391.8237
E; project; project40; vpl; 1131.9248; cost; 26030.2553
E; project; project41; vpl; 1079.787; cost; 23810.907
E; project; project42; vpl; 1331.228; cost; 19991.6881
E; project; project43; vpl; 1097.3412; cost; 17672.2219
E; project; project44; vpl; 1362.8601; cost; 25095.9347
E; project; project45; vpl; 1095.1152; cost; 16257.8014
E; project; project46; vpl; 1099.4754; cost; 25769.4982
E; project; project47; vpl; 1151.895; cost; 27380.7573
E; project; project48; vpl; 1494.5743; cost; 27721.1474
E; project; project49; vpl; 1061.4282; cost; 29711.529
E; project; project50; vpl; 1275.5157; cost; 26980.2016
E; risk; risk1; probability; 55.7349
E; risk; risk2; probability; 79.2581
E; risk; risk3; probability; 16.118
R; affects; risk1; project3; impact; -3209.0115
R; affects; risk1; project44; impact; 3213.6767
R; affects; risk1; project22; impact; -1378.2049
R; affects; risk1; project35; impact; -81.2611
R; affects; risk1; project26; impact; -1460.9695
R; affects; risk1; project36; impact; -2929.8139
R; affects; risk1; project21; impact; 2370.347
R; affects; risk1; project41; impact; -4572.9799
R; affects; risk1; project12; impact; -3925.4506
R; affects; risk1; project28; impact; -5741.4041
R; affects; risk1; project40; impact; -80.4044
R; affects; risk1; project31; impact; -5729.0698
R; affects; risk1; project13; impact; -3659.3622
R; affects; risk1; project8; impact; 750.0734
R; affects; risk1; project16; impact; -2733.151
R; affects; risk1; project11; impact; -5717.5063
R; affects; risk1; project15; impact; 508.2916
R; affects; risk1; project50; impact; -360.1615
R; affects; risk1; project5; impact; -3054.0596
R; affects; risk1; project20; impact; -4034.1379
R; affects; risk1; project25; impact; -1776.7061
R; affects; risk1; project34; impact; -4956.5816
R; affects; risk1; project6; impact; -4126.5087
R; affects; risk1; project17; impact; -6100.4421
R; affects; risk1; project29; impact; 4354.2064
R; affects; risk1; project23; impact; -606.8339
R; affects; risk1; project27; impact; -3603.0126
R; affects; risk1; project47; impact; -4229.6872
R; affects; risk1; project37; impact; 4086.3482
R; affects; risk1; project2; impact; -1382.5713
R; affects; risk1; project18; impact; 2204.3448
R; affects; risk1; project42; impact; 488.3644
R; affects; risk1; project39; impact; -4907.8013
R; affects; risk1; project32; impact; -556.6917
R; affects; risk1; project24; impact; -2416.2064
R; affects; risk1; project45; impact; 3250.3108
R; affects; risk1; project1; impact; -4010.1603
R; affects; risk1; project19; impact; -6280.5492
R; affects; risk1; project49; impact; -3368.649
R; affects; risk1; project9; impact; -1211.9568
R; affects; risk1; project7; impact; 487.9052
R; affects; risk1; project14; impact; -2234.2016
R; affects; risk1; project43; impact; -2360.0115
R; affects; risk1; project4; impact; -4497.7175
R; affects; risk1; project46; impact; -4834.4063
R; affects; risk1; project48; impact; -2669.1224
R; affects; risk1; project10; impact; -300.6999
R; affects; risk1; project30; impact; -4489.1733
R; affects; risk1; project38; impact; 3072.9489
R; affects; risk1; project33; impact; -4328.744
R; affects; risk2; project19; impact; -3890.8501
R; affects; risk2; project37; impact; -840.3836
R; affects; risk2; project25; impact; -4273.6587
R; affects; risk2; project28; impact; -581.6893
R; affects; risk2; project17; impact; -1359.1516
R; affects; risk2; project12; impact; 748.4749
R; affects; risk2; project34; impact; -4602.4777
R; affects; risk2; project8; impact; 2810.7538
R; affects; risk2; project16; impact; -3909.6872
R; affects; risk2; project11; impact; -2157.3689
R; affects; risk2; project5; impact; -199.3309
R; affects; risk2; project15; impact; -837.8554
R; affects; risk2; project49; impact; -4325.6492
R; affects; risk2; project23; impact; -3683.1786
R; affects; risk2; project45; impact; -2195.1702
R; affects; risk2; project42; impact; 1079.4731
R; affects; risk2; project31; impact; -5394.0422
R; affects; risk2; project41; impact; -905.095
R; affects; risk2; project47; impact; -1067.9612
R; affects; risk2; project40; impact; -2420.365
R; affects; risk2; project39; impact; -3906.4171
R; affects; risk2; project3; impact; -2648.339
R; affects; risk2; project43; impact; -2511.832
R; affects; risk2; project10; impact; -6287.3906
R; affects; risk2; project29; impact; -4314.0437
R; affects; risk2; project13; impact; -4863.5596
R; affects; risk2; project26; impact; -1990.4707
R; affects; risk2; project36; impact; -3337.1063
R; affects; risk2; project6; impact; -3700.2005
R; affects; risk2; project4; impact; -5265.0541
R; affects; risk2; project20; impact; -6181.07
R; affects; risk2; project50; impact; -447.8856
R; affects; risk2; project1; impact; -4317.5521
R; affects; risk2; project38; impact; -1000.8708
R; affects; risk2; project9; impact; -2166.8608
R; affects; risk2; project21; impact; -3984.5615
R; affects; risk2; project48; impact; -6727.1353
R; affects; risk2; project30; impact; 867.6587
R; affects; risk2; project46; impact; -1063.0666
R; affects; risk2; project35; impact; -4706.2481
R; affects; risk2; project44; impact; -2233.7319
R; affects; risk2; project7; impact; -2179.3856
R; affects; risk2; project22; impact; -3078.1621
R; affects; risk2; project2; impact; -165.875
R; affects; risk2; project27; impact; 345.2942
R; affects; risk2; project14; impact; -4137.9663
R; affects; risk2; project32; impact; -4378.0144
R; affects; risk2; project18; impact; -3660.5313
R; affects; risk2; project33; impact; 2427.2947
R; affects; risk2; project24; impact; -5697.3575
R; affects; risk3; project19; impact; -2816.3479
R; affects; risk3; project22; impact; -4635.3496
R; affects; risk3; project8; impact; -942.6422
R; affects; risk3; project31; impact; 2.5622
R; affects; risk3; project45; impact; -2123.1637
R; affects; risk3; project30; impact; -6551.2999
R; affects; risk3; project50; impact; -539.0378
R; affects; risk3; project32; impact; -70.0014
R; affects; risk3; project7; impact; -4384.8036
R; affects; risk3; project39; impact; -2722.3965
R; affects; risk3; project40; impact; -3259.8998
R; affects; risk3; project11; impact; -3303.1196
R; affects; risk3; project34; impact; -358.6796
R; affects; risk3; project29; impact; -157.7511
R; affects; risk3; project35; impact; -3408.2181
R; affects; risk3; project18; impact; -1396.1186
R; affects; risk3; project41; impact; 1040.2465
R; affects; risk3; project27; impact; 2398.6507
R; affects; risk3; project42; impact; -2063.7893
R; affects; risk3; project48; impact; -512.3696
R; affects; risk3; project28; impact; -3802.533
R; affects; risk3; project12; impact; -6732.8409
R; affects; risk3; project2; impact; -472.5771
R; affects; risk3; project1; impact; -3671.4722
R; affects; risk3; project25; impact; -5264.6586
R; affects; risk3; project43; impact; -2823.5443
R; affects; risk3; project6; impact; -3158.0342
R; affects; risk3; project49; impact; -6753.6099
R; affects; risk3; project4; impact; -3784.1198
R; affects; risk3; project26; impact; -506.4062
R; affects; risk3; project37; impact; -2315.4335
R; affects; risk3; project33; impact; -4180.8124
R; affects; risk3; project47; impact; -1196.2161
R; affects; risk3; project10; impact; -1978.0762
R; affects; risk3; project15; impact; -1118.4408
R; affects; risk3; project17; impact; -1820.7621
R; affects; risk3; project13; impact; 801.8526
R; affects; risk3; project38; impact; -1796.8411
R; affects; risk3; project5; impact; -1713.08
R; affects; risk3; project23; impact; -574.6187
R; affects; risk3; project21; impact; -918.6247
R; affects; risk3; project16; impact; -1402.3657
R; affects; risk3; project20; impact; -1114.5827
R; affects; risk3; project9; impact; -5444.2777
R; affects; risk3; project3; impact; -1133.3594
R; affects; risk3; project14; impact; -4920.9645
R; affects; risk3; project36; impact; -4373.0235
R; affects; risk3; project24; impact; -2453.8313
R; affects; risk3; project44; impact; -6116.6018
R; affects; risk3; project46; impact; -5075.8245
