E; project; project1; vpl; 1288.9916; cost; 21739.7904
E; project; project2; vpl; 1070.1257; cost; 18560.0239
E; project; project3; vpl; 1496.2191; cost; 19930.8529
E; project; project4; vpl; 1280.5266; cost; 26560.4742
E; project; project5; vpl; 1324.6407; cost; 24651.3476
E; project; project6; vpl; 1317.5097; cost; 29004.6313
E; project; project7; vpl; 1137.3188; cost; 18504.9372
E; project; project8; vpl; 1383.7821; cost; 24940.1141
E; project; project9; vpl; 1198.318; cost; 22586.9845
E; project; project10; vpl; 1089.1559; cost; 27163.7359
E; project; project11; vpl; 1405.6747; cost; 28475.0862
E; project; project12; vpl; 1285.609; cost; 18837.7035
E; project; project13; vpl; 1255.8936; cost; 29200.551
E; project; project14; vpl; 1217.9831; cost; 16356.2234
E; project; project15; vpl; 1152.4464; cost; 25832.6728
E; project; project16; vpl; 1490.1065; cost; 29842.7748
E; project; project17; vpl; 1241.8285; cost; 20571.8516
E; project; project18; vpl; 1267.2566; cost; 16756.9541
E; project; project19; vpl; 1270.1151; cost; 25134.5587
E; project; project20; vpl; 1157.8715; cost; 27795.0713
E; project; project21; vpl; 1055.8374; cost; 22764.8171
E; project; project22; vpl; 1383.7212; cost; 29489.7547
E; project; project23; vpl; 1384.3495; cost; 26387.1521
E; project; project24; vpl; 1272.1503; cost; 28356.7683
E; project; project25; vpl; 1140.4894; cost; 25860.5869
E; project; project26; vpl; 1095.562; cost; 21354.9792
E; project; project27; vpl; 1013.8517; cost; 23059.837
E; project; project28; vpl; 1471.4448; cost; 20367.7475
E; project; project29; vpl; 1470.8289; cost; 19827.8988
E; project; project30; vpl; 1495.639; cost; 20977.6197
E; project; project31; vpl; 1483.9643; cost; 20865.0774
E; project; project32; vpl; 1157.2311; cost; 26384.652
E; project; project33; vpl; 1219.1522; cost; 20166.4201
E; project; project34; vpl; 1215.7718; cost; 19852.3811
E; project; project35; vpl; 1489.6852; cost; 21937.6107
E; project; project36; vpl; 1271.0942; cost; 21791.7522
E; project; project37; vpl; 1410.7516; cost; 17425.6584
E; project; project38; vpl; 1328.8091; cost; 26796.2992
E; project; project39; vpl; 1204.2222; cost; 15134.0108
E; project; project40; vpl; 1436.8482; cost; 24702.7082
E; project; project41; vpl; 1269.7394; cost; 29462.8147
E; project; project42; vpl; 1311.7985; cost; 21697.4341
E; project; project43; vpl; 1220.3345; cost; 15356.5257
E; project; project44; vpl; 1480.1107; cost; 20547.1159
E; project; project45; vpl; 1477.9878; cost; 18657.4542
E; project; project46; vpl; 1465.7801; cost; 19169.8296
E; project; project47; vpl; 1393.447; cost; 23081.4528
E; project; project48; vpl; 1170.3165; cost; 21754.2908
E; project; project49; vpl; 1234.7748; cost; 23249.0948
E; project; project50; vpl; 1215.5579; cost; 19790.3661
E; risk; risk1; probability; 89.5946
E; risk; risk2; probability; 6.4177
E; risk; risk3; probability; 86.1362
E; risk; risk4; probability; 34.5998
E; risk; risk5; probability; 94.4744
E; risk; risk6; probability; 67.9444
E; risk; risk7; probability; 61.8177
R; affects; risk1; project22; impact; 557.8888
R; affects; risk1; project2; impact; -601.9484
R; affects; risk1; project11; impact; -4512.3361
R; affects; risk1; project37; impact; 2976.0069
R; affects; risk1; project50; impact; -6352.1153
R; affects; risk1; project49; impact; -3027.6642
R; affects; risk1; project9; impact; -1385.6017
R; affects; risk1; project34; impact; -4472.7179
R; affects; risk1; project45; impact; -3748.9582
R; affects; risk1; project14; impact; -1739.014
R; affects; risk1; project5; impact; -1207.7377
R; affects; risk1; project7; impact; -2134.9591
R; affects; risk1; project12; impact; 175.6336
R; affects; risk1; project23; impact; -2093.9892
R; affects; risk1; project17; impact; -4273.1242
R; affects; risk1; project32; impact; 321.0121
R; affects; risk1; project20; impact; -640.5351
R; affects; risk1; project15; impact; -6393.1864
R; affects; risk1; project6; impact; -4010.1859
R; affects; risk1; project35; impact; -4959.8431
R; affects; risk1; project30; impact; -1221.921
R; affects; risk1; project42; impact; 2609.3937
R; affects; risk1; project44; impact; -5921.5914
R; affects; risk1; project38; impact; -1853.8509
R; affects; risk1; project10; impact; -4134.9438
R; affects; risk1; project46; impact; 76.9401
R; affects; risk1; project3; impact; -6434.7722
R; affects; risk1; project31; impact; -6728.574
R; affects; risk1; project18; impact; -2477.0946
R; affects; risk1; project39; impact; -6212.1331
R; affects; risk1; project28; impact; -3365.9752
R; affects; risk1; project26; impact; 781.5028
R; affects; risk1; project4; impact; -6033.1381
R; affects; risk1; project33; impact; -6733.426
R; affects; risk1; project29; impact; -1640.2382
R; affects; risk1; project24; impact; -3286.4659
R; affects; risk1; project21; impact; -4491.3246
R; affects; risk1; project47; impact; -5545.741
R; affects; risk1; project43; impact; 2561.4187
R; affects; risk1; project16; impact; -3374.5759
R; affects; risk1; project40; impact; -6160.1476
R; affects; risk1; project36; impact; -5913.1943
R; affects; risk1; project1; impact; -6165.1015
R; affects; risk1; project41; impact; -3469.5408
R; affects; risk1; project25; impact; -5598.9413
R; affects; risk1; project19; impact; -1313.6779
R; affects; risk1; project27; impact; -4304.1015
R; affects; risk1; project8; impact; -2341.585
R; affects; risk1; project13; impact; -2010.5068
R; affects; risk1; project48; impact; -1592.8709
R; affects; risk2; project9; impact; -5.6171
R; affects; risk2; project23; impact; -1141.7429
R; affects; risk2; project30; impact; 2674.1936
R; affects; risk2; project8; impact; 40.2985
R; affects; risk2; project31; impact; 937.8846
R; affects; risk2; project44; impact; -4952.8868
R; affects; risk2; project42; impact; -1309.2421
R; affects; risk2; project20; impact; -2997.802
R; affects; risk2; project18; impact; -1744.2548
R; affects; risk2; project38; impact; -6756.9244
R; affects; risk2; project15; impact; -2376.9935
R; affects; risk2; project4; impact; -1070.8278
R; affects; risk2; project22; impact; -2413.0476
R; affects; risk2; project49; impact; -4082.2066
R; affects; risk2; project16; impact; -2049.3481
R; affects; risk2; project50; impact; -4475.8414
R; affects; risk2; project46; impact; -3974.3924
R; affects; risk2; project45; impact; 185.0731
R; affects; risk2; project14; impact; -4433.2287
